Time,Author,Headline,Target
2019/10/23 20:49,Renkotrade,Bitcoin BTCUSD SHOORT Broken all supports,BTCUSD
2019/10/23 23:56,KQMarkets,Bitcoin - Short - Range Broken - Downward Momentum,BTCUSD
2019/10/25 19:36,dimonle,Bitcoin local view,BTCUSD
2019/11/8 15:52,Legendaryfx_,SHORT BITCOIN,BTCUSD
2019/11/9 12:05,CRYPTO_DON_JUAN,daily btc bearish,BTCUSD
2019/11/10 2:16,heartstonned,BTC-Continuation of a bear market?,BTCUSD
2019/11/12 5:43,Prem_Agrawal,Short BTC/USD,BTCUSD
2019/11/19 20:03,KQMarkets,Bitcoin - Short - Key Support Level Broken,BTCUSD
2019/11/22 21:20,KQMarkets,Bitcoin - Short - Further Downside,BTCUSD
2019/11/22 21:39,andrewthesage,BTC bearish until 6022.44 entry,BTCUSD
2019/11/23 2:37,GER-Quality-Trades,"SICK ""GAINZ"" vs. FOMO",XBTUSD
2019/11/24 5:34,andrewthesage,BTC update Bear flag,BTCUSD
2019/11/25 2:32,UnknownUnicorn4649511,6 Key Levels to Watch Out-Bottom for Bitcoin may not be so Close,XBTUSD
2019/11/25 10:14,diversionlulu,"short Bitcoin CASH, psychological $200 will be dumped soon",BCHUSD
2019/11/26 0:17,btctobtc,Am I wrong to still be shorting BTC?,BTCUSDT
2019/11/27 1:22,TraderPro49,Short the Ponzi Sub 7k,XBTUSD
2019/12/10 18:31,emerytrader,Emery Trader - Short Bitcoin - 10/12/2019,BTCUSDT
2019/12/10 22:17,abfish,Doom is the new moon,XBTUSD
2019/12/11 4:44,YoungShkreli,"Short again, risk lowered",BTCUSD
2019/12/15 21:05,pbb,BTC is going to test the support trend line @ $6200,BTCUSD
2019/12/16 16:02,Stargazer_fx,"Bitcoin: Below Support level & broke out of Triangle,Short Setup",BTCUSD
2019/12/20 17:49,kewigram,BTCUSDT going to test again 8880$ support zone,BTCUSDT
2019/12/24 9:29,MegalodonTrading,SHORT - BITCOIN - MARKET IS SMILING AT YOU,BTCUSD
2019/12/29 17:27,binishaqabdulla,Short Bitcoin,BTCUSD
