Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20181201,4126.135,316.3,13,0.074854145,41210630.76,13,1254.75,690.9112903
20181202,4198.23,298.63,15,0.066170378,37524476.97,11,1292.48,764.4210526
20181203,3977.095,355.1,17,0.060027516,35297948,11,1231.05,752.1754386
20181204,3926.8,326.71,12,0.051074468,39447229.1,11,1239.25,628.7028986
20181205,3840.495,341.6,19,0.053296564,36598826.19,11,1236.15,665.1461538
20181206,3675.675,467.54,13,0.056740815,38210049.32,11,1236.45,642.0222222
20181207,3412.055,639.33,11,0.067196535,32533289.17,11,1241.2,744.5087719
20181208,3448.85,424.4,11,0.082256909,35850446.48,11,1301.26,691.1102362
20181209,3577.54,327.93,14,0.068878197,36985040.05,11,1289.86,676.9375
20181210,3531.13,394.49,19,0.0610026,35464970.58,11,1246.8,696.2822581
20181211,3416.28,418.53,15,0.043860367,35199621.51,11,1248.25,688.088
20181212,3462.925,391.17,14,0.050881383,33478147.44,11,1244.75,722.75
20181213,3383.285,435.89,14,0.047452034,36549446.24,11,1244.45,659.9389313
20181214,3257.105,445.56,10,0.047601203,41791404.8,11,1239.15,581.4246575
20181215,3220.645,332.95,11,0.050924849,42233429.15,11,1263.14,582.409396
20181216,3273.615,335.69,13,0.050716645,32223645.51,11,1263.14,760.0347826
20181217,3439.355,534.78,17,0.042875995,45018540.85,11,1239.1,539.95
20181218,3604.725,698.53,23,0.042380016,36003402.2,11,1248.8,671.3671875
20181219,3831.635,792.4,21,0.046780042,38341157.82,11,1248.6,582.6375839
20181220,3969.17,958.58,27,0.054373215,34674562.36,11,1255,638.5333333
20181221,4039.455,748.76,35,0.054374441,35668333.61,11,1257.6,617.4357143
20181222,3954.785,554.59,28,0.055103085,44646434.47,11,1323.66,494.24
20181223,4045.02,572.21,31,0.065574357,45336899.56,10,1284.94,491.3125
20181224,4154.985,716.29,25,0.0522695,39463290.06,10,1261.25,555.5526316
20181225,3914.73,670.94,33,0.072628223,40471412.43,10,1305.28,555.5597484
20181226,3835.395,567.11,26,0.057921473,39833505.28,10,1282.84,550.9299363
20181227,3755.655,543.44,29,0.056485757,44987752.6,10,1271.1,488.316092
20181228,3818.07,565.24,21,0.046027532,42624642.98,10,1277.25,523.1257485
20181229,3889.26,505.41,24,0.062638626,35454205.01,10,1292.36,624.4275362
20181230,3842.99,519.17,23,0.064435391,45174679.04,9,1282.1,495.3352273
20181231,3802.88,545.83,26,0.060129086,40392996.24,9,1281.65,556.9741935
20190101,3817.845,469.11,24,0.065485148,41826596.74,9,1302.89,575.7449664
